1001,C001,150.50,Electronics,Smartphone,Los Angeles,CA
1002,C002,25.00,Clothing,T-Shirt,New York,NY
1003,C003,500.00,Electronics,Laptop,San Francisco,CA
1004,C004,15.75,Groceries,Apple,Chicago,IL
1005,C005,85.00,Clothing,Jeans,Houston,TX
1006,C006,120.00,Home,Blender,Los Angeles,CA
1007,C001,45.50,Electronics,Headphones,Los Angeles,CA
1008,C007,200.00,Furniture,Chair,Seattle,WA
1009,C008,55.00,Groceries,Milk,New York,NY
1010,C009,300.00,Electronics,Tablet,Chicago,IL
1011,C010,12.50,Clothing,Socks,Houston,TX
1012,C003,850.00,Electronics,TV,San Francisco,CA
1013,C011,40.00,Home,Toaster,Seattle,WA
1014,C012,150.00,Furniture,Table,Los Angeles,CA
1015,C013,75.25,Groceries,Bread,Chicago,IL
1016,C002,60.00,Clothing,Jacket,New York,NY
1017,C014,19.99,Electronics,Charger,Houston,TX
1018,C015,110.00,Furniture,Desk,Seattle,WA
1019,C005,35.00,Clothing,Hat,Houston,TX
1020,C016,250.00,Home,Vacuum,San Francisco,CA
1021,C017,45.00,Groceries,Meat,Los Angeles,CA
1022,C018,90.00,Electronics,Mouse,New York,NY
